Date,Open,Last,High,Low,Range,Volume,1Y POC,3Y POC,YTD POC,1WK POC,1M POC
2020/9/29,3348.25,3333.25,3362.50,3316.00,46.50,1326597,0.00,3993.00,0.00,0.00,0.00
2020/9/30,3329.50,3351.50,3383.50,3290.75,92.75,2170601,0.00,3993.00,0.00,0.00,0.00
2020/10/1,3344.25,3367.25,3387.50,3342.75,44.75,1517912,0.00,3993.00,0.00,0.00,0.00
2020/10/2,3366.50,3338.75,3375.00,3299.75,75.25,2028921,0.00,3993.00,0.00,0.00,0.00
2020/10/5,3359.50,3392.50,3399.50,3346.00,53.50,1077474,0.00,3993.00,0.00,0.00,0.00
2020/10/6,3391.50,3352.75,3421.25,3330.00,91.25,1701062,0.00,3993.00,0.00,0.00,0.00
2020/10/7,3337.50,3406.25,3416.25,3331.75,84.50,1400616,0.00,3993.00,0.00,0.00,0.00
2020/10/8,3405.75,3437.00,3446.75,3405.00,41.75,1104986,0.00,3993.00,0.00,0.00,0.00
2020/10/9,3446.75,3472.75,3479.50,3444.75,34.75,1185272,0.00,3993.00,0.00,0.00,0.00
2020/10/12,3467.00,3532.25,3540.50,3463.75,76.75,1401063,0.00,3993.00,0.00,0.00,0.00
2020/10/13,3533.50,3504.25,3535.25,3491.00,44.25,1617226,0.00,3993.00,0.00,0.00,0.00
2020/10/14,3501.50,3480.50,3523.50,3471.50,52.00,1539718,0.00,3993.00,0.00,0.00,0.00
2020/10/15,3478.75,3475.00,3486.00,3431.00,55.00,1650150,0.00,3993.00,0.00,0.00,0.00
2020/10/16,3478.00,3461.75,3508.00,3460.75,47.25,1398947,0.00,3993.00,0.00,0.00,0.00
2020/10/19,3470.50,3422.25,3496.00,3410.25,85.75,1645853,0.00,3993.00,0.00,0.00,0.00
2020/10/20,3435.50,3431.75,3469.25,3418.25,51.00,1702183,0.00,3993.00,0.00,0.00,0.00
2020/10/21,3436.50,3432.00,3457.50,3420.00,37.50,1681275,0.00,3993.00,0.00,0.00,0.00
2020/10/22,3429.75,3448.75,3452.50,3402.00,50.50,1501259,0.00,3993.00,0.00,0.00,0.00
2020/10/23,3455.25,3451.25,3462.00,3431.00,31.00,1216313,0.00,3993.00,0.00,0.00,0.00
2020/10/26,3445.25,3393.00,3445.75,3355.50,90.25,1957780,0.00,3993.00,0.00,0.00,0.00
2020/10/27,3393.75,3382.50,3409.50,3367.75,41.75,1566246,0.00,3993.00,0.00,0.00,0.00
2020/10/28,3368.50,3263.00,3369.75,3260.25,109.50,2627180,0.00,3993.00,0.00,0.00,0.00
2020/10/29,3278.50,3301.75,3333.25,3249.75,83.50,1965277,0.00,3993.00,0.00,0.00,0.00
2020/10/30,3267.50,3264.25,3295.75,3224.50,71.25,2494925,0.00,3993.00,0.00,0.00,0.00
2020/11/2,3259.50,3300.00,3323.00,3242.75,80.25,1849320,0.00,3993.00,0.00,0.00,0.00
2020/11/3,3303.50,3361.00,3382.25,3300.75,81.50,1664690,0.00,3993.00,0.00,0.00,0.00
2020/11/4,3362.25,3434.50,3479.50,3318.50,161.00,2813083,0.00,3993.00,0.00,0.00,0.00
2020/11/5,3447.50,3504.25,3522.00,3427.75,94.25,1671417,0.00,3993.00,0.00,0.00,0.00
2020/11/6,3508.25,3500.25,3518.50,3456.25,62.25,1640000,0.00,3993.00,0.00,0.00,0.00
2020/11/9,3522.00,3543.50,3667.50,3515.25,152.25,2605322,0.00,3993.00,0.00,0.00,0.00
2020/11/10,3549.00,3540.50,3562.25,3506.00,56.25,2160319,0.00,3993.00,0.00,0.00,0.00
2020/11/11,3545.75,3567.50,3576.25,3530.50,45.75,1324983,0.00,3993.00,0.00,0.00,0.00
2020/11/12,3574.00,3532.00,3574.00,3512.50,61.50,1685890,0.00,3993.00,0.00,0.00,0.00
2020/11/13,3537.00,3581.50,3589.50,3517.50,72.00,1334530,0.00,3993.00,0.00,0.00,0.00
2020/11/16,3586.50,3622.50,3636.50,3586.00,50.50,1303941,0.00,3993.00,0.00,0.00,0.00
2020/11/17,3625.00,3606.25,3629.50,3583.75,45.75,1268206,0.00,3993.00,0.00,0.00,0.00
2020/11/18,3604.00,3564.50,3622.75,3556.00,66.75,1325309,0.00,3993.00,0.00,0.00,0.00
2020/11/19,3561.50,3579.50,3582.25,3541.75,40.50,1291117,0.00,3993.00,0.00,0.00,0.00
2020/11/20,3559.50,3553.75,3582.00,3542.25,39.75,1189621,0.00,3993.00,0.00,0.00,0.00
2020/11/23,3546.00,3575.50,3587.50,3545.00,42.50,1204848,0.00,3993.00,0.00,0.00,0.00
2020/11/24,3575.50,3632.25,3639.50,3574.75,64.75,1288993,0.00,3993.00,0.00,0.00,0.00
2020/11/25,3635.00,3626.75,3654.50,3614.75,39.75,1016343,0.00,3993.00,0.00,0.00,0.00
2020/11/27,3629.75,3636.00,3642.25,3612.25,30.00,639268,0.00,3993.00,0.00,0.00,0.00
2020/11/30,3643.25,3622.75,3651.50,3591.75,59.75,1712274,0.00,3993.00,0.00,0.00,0.00
2020/12/1,3630.50,3660.00,3677.00,3625.50,51.50,1365328,0.00,3993.00,0.00,0.00,0.00
2020/12/2,3660.75,3666.75,3672.25,3641.75,30.50,1106696,0.00,3993.00,0.00,0.00,0.00
2020/12/3,3670.50,3664.00,3681.50,3654.75,26.75,1124033,0.00,3993.00,0.00,0.00,0.00
2020/12/4,3667.75,3697.50,3699.50,3665.00,34.50,991860,0.00,3993.00,0.00,0.00,0.00
2020/12/7,3694.25,3690.25,3704.50,3671.75,32.75,1078372,0.00,3993.00,0.00,0.00,0.00
2020/12/8,3682.25,3701.50,3707.50,3663.75,43.75,1119000,0.00,3993.00,0.00,0.00,0.00
2020/12/9,3707.25,3672.00,3714.25,3659.00,55.25,1792176,0.00,3993.00,0.00,0.00,0.00
2020/12/10,3669.00,3668.00,3680.75,3643.50,37.25,1601203,0.00,3993.00,0.00,0.00,0.00
2020/12/11,3670.00,3660.75,3674.25,3628.00,46.25,1656323,0.00,3993.00,0.00,0.00,0.00
2020/12/14,3677.25,3647.25,3698.75,3644.75,54.00,2284730,0.00,3993.00,0.00,0.00,0.00
2020/12/15,3654.25,3694.25,3695.75,3643.50,52.25,1909018,0.00,3993.00,0.00,0.00,0.00
2020/12/16,3697.00,3701.00,3711.75,3687.25,24.50,1509876,0.00,3993.00,0.00,0.00,0.00
2020/12/17,3704.25,3720.00,3724.75,3699.25,25.50,1227753,0.00,3993.00,0.00,0.00,0.00
2020/12/18,3720.25,3713.50,3730.25,3684.50,45.75,1731161,0.00,3993.00,0.00,0.00,0.00
2020/12/21,3725.50,3693.00,3731.25,3603.25,128.00,1837575,0.00,3993.00,0.00,0.00,0.00
2020/12/22,3692.25,3684.50,3702.25,3671.00,31.25,1104998,0.00,3993.00,0.00,0.00,0.00
2020/12/23,3681.50,3688.75,3709.00,3658.25,50.75,1021819,0.00,3993.00,0.00,0.00,0.00
2020/12/24,3692.50,3702.25,3703.25,3685.75,17.50,369650,0.00,3993.00,0.00,0.00,0.00
2020/12/28,3689.25,3734.75,3739.50,3683.25,56.25,760654,0.00,3993.00,0.00,0.00,0.00
2020/12/29,3738.25,3727.25,3755.00,3721.75,33.25,992636,0.00,3993.00,0.00,0.00,0.00
2020/12/30,3731.75,3731.50,3745.50,3723.75,21.75,769995,0.00,3993.00,0.00,0.00,0.00
2020/12/31,3732.25,3756.00,3760.25,3722.25,38.00,993343,0.00,3993.00,0.00,0.00,0.00
2021/1/4,3756.00,3699.50,3780.50,3659.75,120.75,2037616,0.00,3993.00,0.00,0.00,0.00
2021/1/5,3702.25,3725.50,3737.25,3680.50,56.75,1414022,0.00,3993.00,0.00,0.00,0.00
2021/1/6,3724.75,3747.75,3782.00,3692.75,89.25,2127155,0.00,3993.00,0.00,0.00,0.00
2021/1/7,3759.75,3802.75,3811.25,3749.25,62.00,1302021,0.00,3993.00,0.00,0.00,0.00
2021/1/8,3805.00,3824.75,3831.75,3782.25,49.50,1619438,0.00,3993.00,0.00,0.00,0.00
2021/1/11,3822.75,3799.25,3828.00,3783.75,44.25,1292422,0.00,3993.00,0.00,0.00,0.00
2021/1/12,3801.50,3801.75,3814.00,3775.25,38.75,1216214,0.00,3993.00,0.00,0.00,0.00
2021/1/13,3799.25,3811.00,3820.75,3783.75,37.00,1049186,0.00,3993.00,0.00,0.00,0.00
2021/1/14,3815.75,3798.50,3825.00,3793.50,31.50,1170812,0.00,3993.00,0.00,0.00,0.00
2021/1/15,3800.25,3769.50,3805.00,3748.75,56.25,1781463,0.00,3993.00,0.00,0.00,0.00
2021/1/19,3757.25,3797.75,3804.25,3747.75,56.50,1315580,0.00,3993.00,0.00,0.00,0.00
2021/1/20,3804.00,3852.25,3859.75,3795.75,64.00,1248787,0.00,3993.00,0.00,0.00,0.00
2021/1/21,3848.75,3853.25,3867.00,3843.75,23.25,1068271,0.00,3993.00,0.00,0.00,0.00
