Date,Time,Last,High,Low,Volume,# of Trades,Bid Volume,Ask Volume,Delta,GLOBEX VWAP,IB High Ext 1,IB High,IB Mid,IB High Ext 3,IB High Ext 2,IB Low Ext 1,IB Low Ext 2,US POC,US VWAP,ON POC,GLOBEX VWAP
2023/2/14,22:25:00.0,4128.50,4128.50,4127.50,235,196,93,142,Delta,4134.80,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.80
2023/2/14,22:30:00.0,4127.25,4128.75,4127.25,335,273,199,136,Delta,4134.74,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.74
2023/2/14,22:35:00.0,4127.50,4127.75,4126.50,354,288,172,182,Delta,4134.68,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.68
2023/2/14,22:40:00.0,4126.50,4129.25,4126.50,720,504,387,333,Delta,4134.55,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.55
2023/2/14,22:45:00.0,4128.00,4128.00,4126.50,266,198,124,142,Delta,4134.51,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.51
2023/2/14,22:50:00.0,4128.75,4128.75,4127.75,291,230,128,163,Delta,4134.47,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.47
2023/2/14,22:55:00.0,4128.50,4129.50,4128.50,271,223,148,123,Delta,4134.43,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.43
2023/2/14,23:00:00.0,4128.50,4129.00,4128.25,274,208,152,122,Delta,4134.40,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.40
2023/2/14,23:05:00.0,4128.75,4129.00,4128.00,291,226,127,164,Delta,4134.36,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.36
2023/2/14,23:10:00.0,4127.75,4128.50,4127.25,386,309,232,154,Delta,4134.30,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.30
2023/2/14,23:15:00.0,4127.75,4128.50,4127.50,202,147,101,101,Delta,4134.27,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.27
2023/2/14,23:20:00.0,4128.25,4128.25,4127.50,178,139,78,100,Delta,4134.25,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.25
2023/2/14,23:25:00.0,4128.00,4128.50,4127.75,372,211,137,235,Delta,4134.20,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.20
2023/2/14,23:30:00.0,4128.00,4128.25,4127.75,235,177,112,123,Delta,4134.17,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.17
2023/2/14,23:35:00.0,4129.00,4130.00,4128.00,632,441,190,442,Delta,4134.10,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.10
2023/2/14,23:40:00.0,4128.25,4129.25,4128.25,250,191,163,87,Delta,4134.07,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.07
2023/2/14,23:45:00.0,4128.00,4128.50,4127.75,137,119,80,57,Delta,4134.05,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.05
2023/2/14,23:50:00.0,4128.75,4129.00,4128.25,180,142,73,107,Delta,4134.03,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.03
2023/2/14,23:55:00.0,4128.50,4128.75,4128.00,142,114,84,58,Delta,4134.01,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4134.01
2023/2/15,00:00:00.0,4129.00,4129.50,4128.00,371,308,181,190,Delta,4133.98,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.98
2023/2/15,00:05:00.0,4129.25,4130.75,4129.00,962,737,379,583,Delta,4133.88,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.88
2023/2/15,00:10:00.0,4128.75,4129.50,4128.50,204,167,137,67,Delta,4133.86,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.86
2023/2/15,00:15:00.0,4126.50,4128.75,4126.25,515,392,392,123,Delta,4133.79,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.79
2023/2/15,00:20:00.0,4126.50,4127.00,4126.00,444,347,195,249,Delta,4133.72,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.72
2023/2/15,00:25:00.0,4125.50,4126.50,4125.00,640,420,342,298,Delta,4133.62,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.62
2023/2/15,00:30:00.0,4126.75,4126.75,4125.50,245,203,92,153,Delta,4133.58,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.58
2023/2/15,00:35:00.0,4126.25,4127.00,4126.00,170,144,81,89,Delta,4133.56,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.56
2023/2/15,00:40:00.0,4127.00,4127.25,4125.50,662,465,229,433,Delta,4133.48,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.48
2023/2/15,00:45:00.0,4127.25,4127.50,4126.50,301,238,102,199,Delta,4133.44,4169,4157,4135,4220,4199,4101,4072,0.00,0.00,4127.50,4133.44
